Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
P27.5_E30_S200_PosCL_H125,30,27.5,200,CL,1.12118,1.2504,30.25,3.85,0.29
P27.5_E30_S200_PosEL_H125,30,27.5,200,EL,3.13905,0.690956,30.25,3.85,0.82
P27.5_E30_S200_PosIL_H125,30,27.5,200,IL,2.39862,0.454477,30.25,3.85,0.62
P27.5_E30_S225_PosCL_H125,30,27.5,225,CL,1.11706,1.23675,30.25,3.85,0.29
P27.5_E30_S225_PosEL_H125,30,27.5,225,EL,3.12117,0.68954,30.25,3.85,0.81
P27.5_E30_S225_PosIL_H125,30,27.5,225,IL,2.38454,0.4541,30.25,3.85,0.62
P27.5_E30_S250_PosCL_H125,30,27.5,250,CL,1.11306,1.22364,30.25,3.85,0.29
P27.5_E30_S250_PosEL_H125,30,27.5,250,EL,3.1036,0.688145,30.25,3.85,0.81
P27.5_E30_S250_PosIL_H125,30,27.5,250,IL,2.3707,0.453728,30.25,3.85,0.62
P27.5_E30_S275_PosCL_H125,30,27.5,275,CL,1.10916,1.21103,30.25,3.85,0.29
P27.5_E30_S275_PosEL_H125,30,27.5,275,EL,3.08633,0.68677,30.25,3.85,0.80
P27.5_E30_S275_PosIL_H125,30,27.5,275,IL,2.35709,0.453362,30.25,3.85,0.61
P27.5_E30_S300_PosCL_H125,30,27.5,300,CL,1.10537,1.19889,30.25,3.85,0.29
P27.5_E30_S300_PosEL_H125,30,27.5,300,EL,3.06934,0.685415,30.25,3.85,0.80
P27.5_E30_S300_PosIL_H125,30,27.5,300,IL,2.3437,0.453001,30.25,3.85,0.61
P30_E30_S200_PosCL_H125,30,30,200,CL,1.19988,1.2718,36,4.2,0.29
P30_E30_S200_PosEL_H125,30,30,200,EL,3.33778,0.725885,36,4.2,0.79
P30_E30_S200_PosIL_H125,30,30,200,IL,2.59649,0.470515,36,4.2,0.62
P30_E30_S225_PosCL_H125,30,30,225,CL,1.19533,1.25801,36,4.2,0.28
P30_E30_S225_PosEL_H125,30,30,225,EL,3.31839,0.724299,36,4.2,0.79
P30_E30_S225_PosIL_H125,30,30,225,IL,2.58102,0.470083,36,4.2,0.61
P30_E30_S250_PosCL_H125,30,30,250,CL,1.1909,1.24477,36,4.2,0.28
P30_E30_S250_PosEL_H125,30,30,250,EL,3.29933,0.722735,36,4.2,0.79
P30_E30_S250_PosIL_H125,30,30,250,IL,2.56581,0.469657,36,4.2,0.61
P30_E30_S275_PosCL_H125,30,30,275,CL,1.18659,1.23203,36,4.2,0.28
P30_E30_S275_PosEL_H125,30,30,275,EL,3.2806,0.721194,36,4.2,0.78
P30_E30_S275_PosIL_H125,30,30,275,IL,2.55086,0.469239,36,4.2,0.61
P30_E30_S300_PosCL_H125,30,30,300,CL,1.18238,1.21978,36,4.2,0.28
P30_E30_S300_PosEL_H125,30,30,300,EL,3.26218,0.719674,36,4.2,0.78
P30_E30_S300_PosIL_H125,30,30,300,IL,2.53618,0.468826,36,4.2,0.60
P20_E35_S200_PosCL_H125,35,20,200,CL,0.88278,1.09347,16,2.8,0.32
P20_E35_S200_PosEL_H125,35,20,200,EL,2.53196,0.602223,16,2.8,0.90
P20_E35_S200_PosIL_H125,35,20,200,IL,1.84427,0.425248,16,2.8,0.66
P20_E35_S225_PosCL_H125,35,20,225,CL,0.879625,1.08349,16,2.8,0.31
P20_E35_S225_PosEL_H125,35,20,225,EL,2.52002,0.601614,16,2.8,0.90
P20_E35_S225_PosIL_H125,35,20,225,IL,1.83525,0.42495,16,2.8,0.66
P20_E35_S250_PosCL_H125,35,20,250,CL,0.876564,1.07386,16,2.8,0.31
P20_E35_S250_PosEL_H125,35,20,250,EL,2.50826,0.601013,16,2.8,0.90
P20_E35_S250_PosIL_H125,35,20,250,IL,1.82636,0.424655,16,2.8,0.65
P20_E35_S275_PosCL_H125,35,20,275,CL,0.873594,1.06455,16,2.8,0.31
P20_E35_S275_PosEL_H125,35,20,275,EL,2.49668,0.600418,16,2.8,0.89
P20_E35_S275_PosIL_H125,35,20,275,IL,1.81761,0.424364,16,2.8,0.65
P20_E35_S300_PosCL_H125,35,20,300,CL,0.87071,1.05556,16,2.8,0.31
P20_E35_S300_PosEL_H125,35,20,300,EL,2.48526,0.599831,16,2.8,0.89
P20_E35_S300_PosIL_H125,35,20,300,IL,1.80897,0.424076,16,2.8,0.65
P22.5_E35_S200_PosCL_H125,35,22.5,200,CL,0.964488,1.10807,20.25,3.15,0.31
P22.5_E35_S200_PosEL_H125,35,22.5,200,EL,2.7709,0.628025,20.25,3.15,0.88
P22.5_E35_S200_PosIL_H125,35,22.5,200,IL,2.05228,0.444707,20.25,3.15,0.65
P22.5_E35_S225_PosCL_H125,35,22.5,225,CL,0.961053,1.0974,20.25,3.15,0.31
P22.5_E35_S225_PosEL_H125,35,22.5,225,EL,2.75761,0.627062,20.25,3.15,0.88
P22.5_E35_S225_PosIL_H125,35,22.5,225,IL,2.04205,0.444363,20.25,3.15,0.65
P22.5_E35_S250_PosCL_H125,35,22.5,250,CL,0.957716,1.0871,20.25,3.15,0.30
P22.5_E35_S250_PosEL_H125,35,22.5,250,EL,2.74453,0.62611,20.25,3.15,0.87
P22.5_E35_S250_PosIL_H125,35,22.5,250,IL,2.03197,0.444024,20.25,3.15,0.65
P22.5_E35_S275_PosCL_H125,35,22.5,275,CL,0.954472,1.07715,20.25,3.15,0.30
P22.5_E35_S275_PosEL_H125,35,22.5,275,EL,2.73164,0.625171,20.25,3.15,0.87
P22.5_E35_S275_PosIL_H125,35,22.5,275,IL,2.02204,0.443688,20.25,3.15,0.64
P22.5_E35_S300_PosCL_H125,35,22.5,300,CL,0.951317,1.06754,20.25,3.15,0.30
P22.5_E35_S300_PosEL_H125,35,22.5,300,EL,2.71893,0.624242,20.25,3.15,0.86
P22.5_E35_S300_PosIL_H125,35,22.5,300,IL,2.01225,0.443356,20.25,3.15,0.64
P25_E35_S200_PosCL_H125,35,25,200,CL,1.03557,1.20673,25,3.5,0.30
P25_E35_S200_PosEL_H125,35,25,200,EL,2.95978,0.662282,25,3.5,0.85
P25_E35_S200_PosIL_H125,35,25,200,IL,2.24274,0.44094,25,3.5,0.64
P25_E35_S225_PosCL_H125,35,25,225,CL,1.03172,1.19534,25,3.5,0.29
P25_E35_S225_PosEL_H125,35,25,225,EL,2.94526,0.66119,25,3.5,0.84
P25_E35_S225_PosIL_H125,35,25,225,IL,2.23148,0.440653,25,3.5,0.64
P25_E35_S250_PosCL_H125,35,25,250,CL,1.02797,1.18434,25,3.5,0.29
P25_E35_S250_PosEL_H125,35,25,250,EL,2.93095,0.660111,25,3.5,0.84
P25_E35_S250_PosIL_H125,35,25,250,IL,2.22039,0.440369,25,3.5,0.63
P25_E35_S275_PosCL_H125,35,25,275,CL,1.02433,1.17372,25,3.5,0.29
P25_E35_S275_PosEL_H125,35,25,275,EL,2.91686,0.659045,25,3.5,0.83
P25_E35_S275_PosIL_H125,35,25,275,IL,2.20946,0.440089,25,3.5,0.63
P25_E35_S300_PosCL_H125,35,25,300,CL,1.02078,1.16345,25,3.5,0.29
P25_E35_S300_PosEL_H125,35,25,300,EL,2.90297,0.657992,25,3.5,0.83
P25_E35_S300_PosIL_H125,35,25,300,IL,2.19868,0.439813,25,3.5,0.63
P27.5_E35_S200_PosCL_H125,35,27.5,200,CL,1.12609,1.26678,30.25,3.85,0.29
P27.5_E35_S200_PosEL_H125,35,27.5,200,EL,3.16014,0.692609,30.25,3.85,0.82
P27.5_E35_S200_PosIL_H125,35,27.5,200,IL,2.4152,0.454918,30.25,3.85,0.63
P27.5_E35_S225_PosCL_H125,35,27.5,225,CL,1.12243,1.25448,30.25,3.85,0.29
P27.5_E35_S225_PosEL_H125,35,27.5,225,EL,3.14448,0.691373,30.25,3.85,0.82
P27.5_E35_S225_PosIL_H125,35,27.5,225,IL,2.40288,0.454588,30.25,3.85,0.62
P27.5_E35_S250_PosCL_H125,35,27.5,250,CL,1.11887,1.2426,30.25,3.85,0.29
P27.5_E35_S250_PosEL_H125,35,27.5,250,EL,3.12905,0.690153,30.25,3.85,0.81
