,Case,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Max_Flexure_MPa,Max_Shear_MPa,Compressive_Strength_Mpa,Flexural Strength_Mpa,Flexure_SR
246,P22.5_E35_S250_PosCL_H60,35,22.5,250,CL,3.84972,2.31343,49,4.9,0.79
247,P22.5_E35_S250_PosEL_H60,35,22.5,250,EL,9.31072,1.48286,49,4.9,1.90
248,P22.5_E35_S250_PosIL_H60,35,22.5,250,IL,6.7995,0.67339,49,4.9,1.39
249,P22.5_E35_S275_PosCL_H60,35,22.5,275,CL,3.82752,2.25062,49,4.9,0.78
250,P22.5_E35_S275_PosEL_H60,35,22.5,275,EL,9.1136,1.47159,49,4.9,1.86
251,P22.5_E35_S275_PosIL_H60,35,22.5,275,IL,6.65053,0.669167,49,4.9,1.36
252,P22.5_E35_S300_PosCL_H60,35,22.5,300,CL,3.80761,2.19391,49,4.9,0.78
253,P22.5_E35_S300_PosEL_H60,35,22.5,300,EL,8.93012,1.46094,49,4.9,1.82
254,P22.5_E35_S300_PosIL_H60,35,22.5,300,IL,6.51229,0.665189,49,4.9,1.33
255,P25_E35_S200_PosCL_H60,35,25,200,CL,4.17389,2.70138,49,4.9,0.85
256,P25_E35_S200_PosEL_H60,35,25,200,EL,10.3729,1.59119,49,4.9,2.12
257,P25_E35_S200_PosIL_H60,35,25,200,IL,7.7466,0.715466,49,4.9,1.58
258,P25_E35_S225_PosCL_H60,35,25,225,CL,4.13761,2.61622,49,4.9,0.84
259,P25_E35_S225_PosEL_H60,35,25,225,EL,10.1218,1.57668,49,4.9,2.07
260,P25_E35_S225_PosIL_H60,35,25,225,IL,7.55289,0.711571,49,4.9,1.54
261,P25_E35_S250_PosCL_H60,35,25,250,CL,4.1054,2.54064,49,4.9,0.84
262,P25_E35_S250_PosEL_H60,35,25,250,EL,9.88989,1.56305,49,4.9,2.02
263,P25_E35_S250_PosIL_H60,35,25,250,IL,7.37437,0.707938,49,4.9,1.50
264,P25_E35_S275_PosCL_H60,35,25,275,CL,4.07656,2.47295,49,4.9,0.83
265,P25_E35_S275_PosEL_H60,35,25,275,EL,9.67483,1.55021,49,4.9,1.97
266,P25_E35_S275_PosIL_H60,35,25,275,IL,7.20926,0.704536,49,4.9,1.47
267,P25_E35_S300_PosCL_H60,35,25,300,CL,4.05055,2.41186,49,4.9,0.83
268,P25_E35_S300_PosEL_H60,35,25,300,EL,9.47472,1.53807,49,4.9,1.93
269,P25_E35_S300_PosIL_H60,35,25,300,IL,7.05602,0.701339,49,4.9,1.44
270,P27.5_E35_S200_PosCL_H60,35,27.5,200,CL,4.4565,2.91386,49,4.9,0.91
271,P27.5_E35_S200_PosEL_H60,35,27.5,200,EL,10.9469,1.67446,49,4.9,2.23
