Thickness_mm,Modulus_GPa,LoadLevel_kN,Subgrade_K_MPam,LoadPosition,Flexure_SR
100,20,25,225,IL,1.14
100,20,25,250,CL,0.55
100,20,25,250,EL,1.49
100,20,25,250,IL,1.13
100,20,25,275,CL,0.55
100,20,25,275,EL,1.47
100,20,25,275,IL,1.11
100,20,25,300,CL,0.54
100,20,25,300,EL,1.45
100,20,25,300,IL,1.1
100,20,27.5,200,CL,0.61
100,20,27.5,200,EL,1.63
100,20,27.5,200,IL,1.24
100,20,27.5,225,CL,0.6
100,20,27.5,225,EL,1.6
100,20,27.5,225,IL,1.22
100,20,27.5,250,CL,0.6
100,20,27.5,250,EL,1.58
100,20,27.5,250,IL,1.21
100,20,27.5,275,CL,0.6
100,20,27.5,275,EL,1.56
100,20,27.5,275,IL,1.19
100,20,27.5,300,CL,0.59
100,20,27.5,300,EL,1.54
100,20,27.5,300,IL,1.18
100,20,30,200,CL,0.65
100,20,30,200,EL,1.72
100,20,30,200,IL,1.34
100,20,30,225,CL,0.64
100,20,30,225,EL,1.7
100,20,30,225,IL,1.32
100,20,30,250,CL,0.64
100,20,30,250,EL,1.68
100,20,30,250,IL,1.3
100,20,30,275,CL,0.64
100,20,30,275,EL,1.65
100,20,30,275,IL,1.28
100,20,30,300,CL,0.63
100,20,30,300,EL,1.63
100,20,30,300,IL,1.27
100,25,20,200,CL,0.39
100,25,20,200,EL,1.08
100,25,20,200,IL,0.78
100,25,20,225,CL,0.39
100,25,20,225,EL,1.07
100,25,20,225,IL,0.78
100,25,20,250,CL,0.39
100,25,20,250,EL,1.05
100,25,20,250,IL,0.77
100,25,20,275,CL,0.39
100,25,20,275,EL,1.04
100,25,20,275,IL,0.76
100,25,20,300,CL,0.38
100,25,20,300,EL,1.03
100,25,20,300,IL,0.75
100,25,22.5,200,CL,0.43
100,25,22.5,200,EL,1.17
100,25,22.5,200,IL,0.87
100,25,22.5,225,CL,0.42
100,25,22.5,225,EL,1.16
100,25,22.5,225,IL,0.86
100,25,22.5,250,CL,0.42
100,25,22.5,250,EL,1.15
100,25,22.5,250,IL,0.85
100,25,22.5,275,CL,0.42
100,25,22.5,275,EL,1.14
100,25,22.5,275,IL,0.84
100,25,22.5,300,CL,0.41
100,25,22.5,300,EL,1.12
100,25,22.5,300,IL,0.83
100,25,25,200,CL,0.45
100,25,25,200,EL,1.25
100,25,25,200,IL,0.95
100,25,25,225,CL,0.45
100,25,25,225,EL,1.24
100,25,25,225,IL,0.94
100,25,25,250,CL,0.45
100,25,25,250,EL,1.22
100,25,25,250,IL,0.93
100,25,25,275,CL,0.44
100,25,25,275,EL,1.21
100,25,25,275,IL,0.92
100,25,25,300,CL,0.44
100,25,25,300,EL,1.2
100,25,25,300,IL,0.91
100,25,27.5,200,CL,0.49
100,25,27.5,200,EL,1.33
100,25,27.5,200,IL,1.02
100,25,27.5,225,CL,0.49
100,25,27.5,225,EL,1.32
100,25,27.5,225,IL,1
100,25,27.5,250,CL,0.49
100,25,27.5,250,EL,1.3
100,25,27.5,250,IL,0.99
100,25,27.5,275,CL,0.48
100,25,27.5,275,EL,1.29
100,25,27.5,275,IL,0.98
100,25,27.5,300,CL,0.48
100,25,27.5,300,EL,1.27
100,25,27.5,300,IL,0.97
100,25,30,200,CL,0.52
100,25,30,200,EL,1.41
100,25,30,200,IL,1.1
100,25,30,225,CL,0.52
100,25,30,225,EL,1.39
100,25,30,225,IL,1.08
100,25,30,250,CL,0.52
100,25,30,250,EL,1.38
100,25,30,250,IL,1.07
100,25,30,275,CL,0.52
100,25,30,275,EL,1.36
100,25,30,275,IL,1.06
100,25,30,300,CL,0.51
100,25,30,300,EL,1.35
100,25,30,300,IL,1.05
100,30,20,200,CL,0.33
100,30,20,200,EL,0.91
100,30,20,200,IL,0.66
100,30,20,225,CL,0.33
100,30,20,225,EL,0.9
100,30,20,225,IL,0.66
100,30,20,250,CL,0.33
100,30,20,250,EL,0.89
100,30,20,250,IL,0.65
100,30,20,275,CL,0.32
100,30,20,275,EL,0.89
100,30,20,275,IL,0.65
100,30,20,300,CL,0.32
100,30,20,300,EL,0.88
100,30,20,300,IL,0.64
100,30,22.5,200,CL,0.36
100,30,22.5,200,EL,0.99
100,30,22.5,200,IL,0.74
100,30,22.5,225,CL,0.36
100,30,22.5,225,EL,0.98
100,30,22.5,225,IL,0.73
100,30,22.5,250,CL,0.35
100,30,22.5,250,EL,0.97
100,30,22.5,250,IL,0.72
100,30,22.5,275,CL,0.35
100,30,22.5,275,EL,0.97
100,30,22.5,275,IL,0.71
100,30,22.5,300,CL,0.35
100,30,22.5,300,EL,0.96
100,30,22.5,300,IL,0.71
100,30,25,200,CL,0.38
100,30,25,200,EL,1.06
100,30,25,200,IL,0.8
100,30,25,225,CL,0.38
100,30,25,225,EL,1.05
100,30,25,225,IL,0.79
100,30,25,250,CL,0.38
100,30,25,250,EL,1.04
100,30,25,250,IL,0.79
100,30,25,275,CL,0.37
100,30,25,275,EL,1.03
100,30,25,275,IL,0.78
100,30,25,300,CL,0.37
100,30,25,300,EL,1.02
100,30,25,300,IL,0.77
100,30,27.5,200,CL,0.41
100,30,27.5,200,EL,1.13
100,30,27.5,200,IL,0.86
100,30,27.5,225,CL,0.41
100,30,27.5,225,EL,1.12
100,30,27.5,225,IL,0.85
100,30,27.5,250,CL,0.41
100,30,27.5,250,EL,1.11
100,30,27.5,250,IL,0.84
100,30,27.5,275,CL,0.41
100,30,27.5,275,EL,1.1
100,30,27.5,275,IL,0.84
100,30,27.5,300,CL,0.41
100,30,27.5,300,EL,1.08
100,30,27.5,300,IL,0.83
100,30,30,200,CL,0.44
100,30,30,200,EL,1.2
100,30,30,200,IL,0.93
100,30,30,225,CL,0.44
100,30,30,225,EL,1.18
100,30,30,225,IL,0.92
100,30,30,250,CL,0.44
100,30,30,250,EL,1.17
100,30,30,250,IL,0.91
100,30,30,275,CL,0.43
100,30,30,275,EL,1.16
100,30,30,275,IL,0.9
100,30,30,300,CL,0.43
100,30,30,300,EL,1.15
100,30,30,300,IL,0.89
100,35,20,200,CL,0.29
100,35,20,200,EL,0.79
100,35,20,200,IL,0.58
100,35,20,225,CL,0.28
100,35,20,225,EL,0.78
100,35,20,225,IL,0.57
100,35,20,250,CL,0.28
100,35,20,250,EL,0.78
100,35,20,250,IL,0.57
100,35,20,275,CL,0.28
100,35,20,275,EL,0.77
100,35,20,275,IL,0.56
100,35,20,300,CL,0.28
100,35,20,300,EL,0.76
100,35,20,300,IL,0.56
100,35,22.5,200,CL,0.31
100,35,22.5,200,EL,0.86
100,35,22.5,200,IL,0.64
100,35,22.5,225,CL,0.31
100,35,22.5,225,EL,0.85
100,35,22.5,225,IL,0.63
100,35,22.5,250,CL,0.31
100,35,22.5,250,EL,0.85
100,35,22.5,250,IL,0.63
100,35,22.5,275,CL,0.3
100,35,22.5,275,EL,0.84
100,35,22.5,275,IL,0.62
100,35,22.5,300,CL,0.3
100,35,22.5,300,EL,0.83
100,35,22.5,300,IL,0.62
100,35,25,200,CL,0.33
100,35,25,200,EL,0.92
100,35,25,200,IL,0.7
100,35,25,225,CL,0.33
100,35,25,225,EL,0.91
100,35,25,225,IL,0.69
100,35,25,250,CL,0.33
100,35,25,250,EL,0.9
100,35,25,250,IL,0.68
100,35,25,275,CL,0.32
100,35,25,275,EL,0.9
100,35,25,275,IL,0.68
100,35,25,300,CL,0.32
100,35,25,300,EL,0.89
100,35,25,300,IL,0.67
